,label
26304,Fake
33890,Fake
25793,Fake
17307,True
23443,Fake
20674,True
18968,True
32878,Fake
25112,Fake
17122,True
3638,True
19092,True
43961,Fake
8395,True
10553,True
14658,True
31701,Fake
25240,Fake
41496,Fake
3050,True
14294,True
20608,True
19300,True
37605,Fake
21918,Fake
3377,True
3658,True
43695,Fake
36054,Fake
16550,True
4081,True
19870,True
28431,Fake
6639,True
42562,Fake
4358,True
37900,Fake
267,True
35650,Fake
1982,True
2608,True
10827,True
23772,Fake
33903,Fake
44841,Fake
8105,True
38810,Fake
1782,True
25639,Fake
15289,True
6910,True
12764,True
3832,True
20998,True
18899,True
36460,Fake
9969,True
24242,Fake
33991,Fake
17256,True
38188,Fake
41795,Fake
30248,Fake
21210,True
20510,True
40963,Fake
24627,Fake
20698,True
34603,Fake
2898,True
33730,Fake
37516,Fake
14443,True
33039,Fake
38264,Fake
31315,Fake
36854,Fake
22591,Fake
40305,Fake
9749,True
23281,Fake
17991,True
17001,True
22913,Fake
27087,Fake
11094,True
38246,Fake
8613,True
7974,True
12824,True
39295,Fake
31777,Fake
11028,True
5807,True
32063,Fake
4725,True
43411,Fake
9966,True
27586,Fake
18029,True
42312,Fake
34111,Fake
22730,Fake
3370,True
5043,True
31314,Fake
7104,True
26414,Fake
28073,Fake
7394,True
14967,True
11219,True
26580,Fake
21097,True
1709,True
19226,True
20615,True
32220,Fake
11900,True
21117,True
22306,Fake
19458,True
42924,Fake
12121,True
21528,Fake
40151,Fake
26527,Fake
26597,Fake
44781,Fake
26886,Fake
40485,Fake
26083,Fake
9206,True
27836,Fake
9695,True
27743,Fake
5503,True
20270,True
25773,Fake
33158,Fake
19074,True
24712,Fake
20258,True
29880,Fake
21169,True
62,True
35687,Fake
17990,True
39799,Fake
38663,Fake
13576,True
14154,True
6323,True
5002,True
25261,Fake
12022,True
42010,Fake
27702,Fake
21742,Fake
13703,True
3206,True
18393,True
15011,True
20297,True
6690,True
7671,True
16868,True
23996,Fake
39558,Fake
3347,True
41775,Fake
39984,Fake
19856,True
11457,True
43942,Fake
15721,True
44642,Fake
21370,True
13021,True
18789,True
42455,Fake
28725,Fake
16773,True
32341,Fake
17539,True
18266,True
28322,Fake
7657,True
35285,Fake
25122,Fake
37404,Fake
17003,True
